WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU02090152,37166,4
BU02090153,37179,6
BU02090154,37192,17
BU02090161,37205,47
BU02090202,37231,6
BU02090203,37244,5
BU02090204,37257,21
BU02090271,37270,13
BU02090272,37283,7
BU02090273,37296,11
BU02090274,37309,3
BU02090275,37322,13
BU02090276,37335,3
BU02090305,37361,7
BU02090306,37374,3
BU02090381,37387,8
BU02090382,37400,32
BU02090383,37413,15
BU02090407,37439,3
BU02090408,37452,13
BU02090409,37465,6
BU02090491,37478,17
BU02130100,44277,12
BU02130101,44290,2
BU02130102,44303,13
BU02130200,44329,6
BU02130300,44355,73
BU02130301,44368,28
BU02130302,44381,18
BU02130303,44394,5
BU02130304,44407,8
BU02130305,44420,2
BU02130306,44433,13
BU02130307,44446,9
BU02130308,44459,0
BU02130309,44472,18
BU02130310,44485,8
BU02130311,44498,1
BU02130312,44511,5
BU02130313,44524,0
BU02130314,44537,14
BU02130315,44550,11
BU02130316,44563,3
BU02130317,44576,20
BU02130400,44602,9
BU02130401,44615,3
BU02130402,44628,1
BU02130500,44654,6
BU02130501,44667,5
BU02130502,44680,3
BU02130600,44706,49
BU02130601,44719,23
BU02130602,44732,39
BU02130603,44745,13
BU02130604,44758,7
BU02130605,44771,49
BU02130606,44784,10
BU02130607,44797,1
BU02130608,44810,5
BU02130609,44823,12
BU02130610,44836,11
BU02140000,45850,10
BU02140001,45863,12
BU02140002,45876,14
BU02140003,45889,4
BU02140004,45902,8
BU02140006,45915,1
BU02140007,45928,5
BU02140008,45941,1
BU02140009,45954,25
BU02140100,45980,45
BU02140101,45993,3
BU02140109,46006,30
BU02140200,46032,15
BU02140201,46045,24
BU02140202,46058,1
BU02140206,46071,20
BU02140207,46084,12
BU02140208,46097,1
BU02140209,46110,5
BU02140300,46136,60
BU02140301,46149,9
BU02140305,46162,8
BU02140306,46175,28
BU02140307,46188,7
BU02140308,46201,8
BU02140400,46227,18
BU02140402,46240,5
BU02140408,46253,9
BU02140409,46266,5
BU02140500,46292,60
BU02140501,46305,11
BU02140502,46318,17
BU02140503,46331,1
BU02140507,46344,5
BU02140508,46357,63
BU02140509,46370,11
BU02140600,46396,1
BU02140608,46409,0
BU02140609,46422,7
BU02160000,49347,107
BU02160001,49360,14
BU02160002,49373,43
BU02160003,49386,12
BU02160004,49399,70
BU02160005,49412,43
BU02160006,49425,13
BU02160007,49438,41
BU02160008,49451,47
BU02160009,49464,109
BU02160010,49477,5
BU02160100,49503,36
BU02160101,49516,50
BU02160102,49529,36
BU02160103,49542,43
BU02160104,49555,45
BU02160105,49568,29
BU02160106,49581,49
BU02160107,49594,10
BU02160108,49607,43
BU02210100,56016,95
BU02210101,56029,25
BU02210102,56042,31
BU02210103,56055,52
BU02210104,56068,40
BU02210105,56081,16
BU02210106,56094,11
BU02210107,56107,0
BU02210108,56120,25
BU02210109,56133,0
BU02210110,56146,1
BU02220101,56185,295
BU02220102,56198,9
BU02220103,56211,35
BU02220104,56224,77
BU02220105,56237,64
BU02220106,56250,57
BU02220201,56276,58
BU02220202,56289,54
BU02220203,56302,3
BU02220204,56315,90
BU02220205,56328,40
BU02220206,56341,17
BU02220208,56354,3
BU02220301,56380,14
BU02220302,56393,13
BU02220303,56406,28
BU02220401,56432,71
BU02220402,56445,14
BU02220403,56458,18
BU02220404,56471,11
BU02220405,56484,75
BU02220406,56497,5
BU02220407,56510,3
BU02220408,56523,7
BU02220501,56549,113
BU02220502,56562,82
BU02220503,56575,62
BU02220504,56588,4
BU02220505,56601,83
BU02220601,56627,45
BU02220602,56640,72
BU02220603,56653,68
BU02220604,56666,34
BU02220605,56679,34
BU02220606,56692,38
BU02220607,56705,22
BU02220608,56718,20
BU02220609,56731,0
BU02220702,56757,9
BU02220703,56770,11
BU02220704,56783,7
BU02220705,56796,25
BU02220706,56809,12
BU02220707,56822,6
BU02220708,56835,27
BU02220709,56848,10
BU02220710,56861,10
BU02220711,56874,6
BU02220712,56887,4
BU02220713,56900,16
BU02220801,56926,16
BU02220802,56939,23
BU02220803,56952,0
BU02220804,56965,4
BU02220901,56991,3
BU02220902,57004,12
BU02220903,57017,4
BU02220904,57030,43
BU02220905,57043,115
BU02220906,57056,35
BU02220907,57069,4
BU02220908,57082,8
BU02220909,57095,2
BU02220911,57108,2
BU02221101,57134,13
BU02221102,57147,29
BU02221103,57160,6
BU02221104,57173,41
BU02221105,57186,1
BU02221106,57199,3
BU02221107,57212,2
BU02223101,57238,57
BU02223102,57251,1
BU02223103,57264,4
BU02223104,57277,5
BU02223105,57290,3
BU02223106,57303,1
BU02223107,57316,3
BU02223108,57329,1
BU02223109,57342,0
BU02223110,57355,6
BU02223111,57368,8
BU02223112,57381,27
BU02223113,57394,5
BU02250001,61294,3
BU02250101,61320,6
BU02250102,61333,14
BU02250103,61346,23
BU02250104,61359,9
BU02250105,61372,37
BU02250106,61385,17
BU02250107,61398,7
BU02250108,61411,9
BU02250109,61424,20
BU02250110,61437,3
BU02250201,61463,6
BU02250202,61476,32
BU02250203,61489,29
BU02250204,61502,12
BU02250205,61515,5
BU02250301,61541,12
BU02250302,61554,37
BU02250303,61567,2
BU02250401,61593,23
BU02250402,61606,20
BU02250501,61632,9
BU02250502,61645,18
BU02250601,61671,6
BU02250602,61684,17
BU02250603,61697,4
BU02260101,61736,179
BU02260201,61762,37
BU02260301,61788,73
BU02260302,61801,80
BU02260303,61814,49
BU02260304,61827,30
BU02260305,61840,11
BU02260306,61853,6
BU02260307,61866,15
BU02260308,61879,17
BU02260401,61905,49
BU02260402,61918,70
BU02260501,61944,29
BU02260601,61970,11
BU02280101,63439,492
BU02280102,63452,25
BU02280103,63465,25
BU02280104,63478,54
BU02280105,63491,237
BU02280201,63517,41
BU02280202,63530,97
BU02280203,63543,101
BU02280204,63556,71
BU02280205,63569,50
BU02280206,63582,81
BU02280301,63608,81
BU02280302,63621,89
BU02280303,63634,124
BU02280305,63647,97
BU02280306,63660,47
BU02280307,63673,35
BU02280401,63699,60
BU02280402,63712,34
BU02280403,63725,47
BU02280501,63751,102
BU02281001,63777,98
BU02281002,63790,115
BU02281003,63803,245
BU02281004,63816,107
BU02281101,63842,85
BU02281102,63855,38
BU02281103,63868,31
BU02281201,63894,11
BU02281202,63907,69
BU02281203,63920,152
BU02281204,63933,32
BU02281301,63959,59
BU02281302,63972,36
BU02281303,63985,7
BU02281304,63998,10
BU02281305,64011,15
BU02281306,64024,11
BU02282031,64050,22
BU02282032,64063,76
BU02282051,64076,106
BU02283001,64102,65
BU02283002,64115,66
BU02283003,64128,82
BU02283004,64141,55
BU02283031,64154,36
BU02283051,64167,18
BU02284001,64193,87
BU02284002,64206,51
BU02284003,64219,19
BU02284031,64232,40
BU02284032,64245,9
BU02284033,64258,38
BU02284034,64271,32
BU02284051,64284,35
BU02285001,64310,41
BU02285031,64323,21
BU02286001,64349,136
BU02286031,64362,30
BU02287001,64388,33
BU02287002,64401,5
BU02287031,64414,17
BU02287051,64427,4
BU02288001,64453,17
BU02288031,64466,34
BU02288051,64479,18
BU02289001,64505,34
BU02289031,64518,29
BU02289051,64531,39
BU02289052,64544,4
BU02289053,64557,15
BU03030101,60644,3
BU03030102,60657,19
BU03030103,60670,58
BU03030104,60683,36
BU03030105,60696,5
BU03030210,60722,39
BU03030211,60735,12
BU03030212,60748,40
BU03030213,60761,44
BU03030320,60787,222
BU03030321,60800,93
BU03030322,60813,16
BU03030323,60826,19
BU03030324,60839,19
BU03030430,60865,18
BU03030431,60878,11
