WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00860201,420845938,31.0
BU00860202,420846705,14.0
BU00860203,420847472,32.0
BU00860204,420848239,3.0
BU00860205,420849006,10.0
BU00860206,420849773,8.0
BU00860207,420850540,8.0
BU00860208,420851307,12.0
BU00860209,420852074,24.0
BU00860401,420853608,36.0
BU00860402,420854375,7.0
BU00860501,420855909,77.0
BU00860502,420856676,30.0
BU00860503,420857443,39.0
BU00860504,420858210,22.0
BU00860505,420858977,4.0
BU00860506,420859744,89.0
BU00860507,420860511,16.0
BU00860508,420861278,20.0
BU00860601,420862812,6.0
BU00860602,420863579,6.0
BU00860701,420865113,4.0
BU00860702,420865880,2.0
BU00860801,420867414,6.0
BU00860802,420868181,16.0
BU00860901,420869715,30.0
BU00860902,420870482,14.0
BU00861001,420872016,2.0
BU00861002,420872783,2.0
BU00861101,420874317,18.0
BU00861102,420875084,18.0
BU00861301,420876618,5.0
BU00861302,420877385,23.0
BU00861401,420878919,10.0
BU00861402,420879686,60.0
BU00861501,420881220,26.0
BU00861502,420881987,21.0
BU00861601,420883521,20.0
BU00861602,420884288,42.0
BU00861603,420885055,8.0
BU00861604,420885822,6.0
BU00861605,420886589,26.0
BU00861606,420887356,38.0
BU00861607,420888123,84.0
BU00861701,420889657,10.0
BU00861702,420890424,14.0
BU00861703,420891191,40.0
BU00880000,421958088,26.0
BU00880009,421958855,14.0
BU00900101,422148304,495.0
BU00900201,422149838,12.0
BU00900202,422150605,46.0
BU00900203,422151372,45.0
BU00900204,422152139,279.0
BU00900205,422152906,81.0
BU00900206,422153673,99.0
BU00900301,422155207,85.0
BU00900302,422155974,70.0
BU00900303,422156741,155.0
BU00900304,422157508,24.0
BU00900401,422159042,72.0
BU00900402,422159809,47.0
BU00900403,422160576,43.0
BU00900404,422161343,20.0
BU00900405,422162110,30.0
BU00900406,422162877,92.0
BU00900501,422164411,38.0
BU00900502,422165178,2.0
BU00900601,422166712,115.0
BU00900602,422167479,85.0
